LGA Code 2011,A10 Homicide and related offence,A20 Assault and related offences , A30 Sexual offences, A40 Abduction and related ofences , A50 Robbery,A60 Blackmail and extortion,"A70 Stalking, harassment and threatening behaviour",A80 Dangerous and negligent acts endangering people,Total offence count: (A),B10 Arson,B20 Property Damage,B30 Burglary/Break and enter,B40 Theft,B50 Deception,B60 Bribery,Total offence count: (B),C10 Drug dealing and trafficking,C20 Cultivate or manufacture drugs,C30 Drug use and possesion ,C90 Other drug offences,Total offence count: (C),D10 Weapons and explosives offence,D20 Disorderly and offensive conduct,D30 Public nuisance offences,D40 Public security offences,Total offence count: (D),E10 Justice procedures,E20 Breaches of orders,Total (E) Justice procedures offences,F10 Regulatory driving offences,F20 Transport regulation offences,F30 Other government regulatory off,F90 Miscellaneous offences,Total (F) Other offences,Grand Total Offences,LGA Estimated Residential Population,LGA Name,Reference Period,Victoria Estimated Residential Population
26490,3,81,36,1,0,0,13,7,138,13,144,184,389,28,0,758,5,3,38,0,46,26,116,12,0,154,18,32,50,0,0,9,0,9,1155,28262,Surf Coast (S),2013,5733545
26490,0,58,16,3,1,0,66,16,160,7,110,170,445,41,0,773,2,8,35,0,45,21,83,8,0,112,8,89,97,0,1,1,0,2,1189,28460,Surf Coast (S),2014,5838110
26490,0,74,65,0,2,1,16,5,163,9,140,174,434,410,0,1167,7,7,47,0,61,18,55,9,0,82,8,91,99,0,6,2,0,8,1580,28941,Surf Coast (S),2015,5937481
26490,0,97,38,6,11,0,27,22,201,22,132,216,578,54,0,1002,3,2,31,0,36,10,51,2,0,63,22,94,116,0,1,0,0,1,1419,29337,Surf Coast (S),2016,6053355
26610,3,263,63,3,7,0,65,22,423,23,213,135,423,55,0,849,20,5,85,0,110,48,177,11,1,237,46,135,181,0,0,5,4,9,1809,20950,Swan Hill (RC),2012,5632521
26610,3,278,40,3,5,0,64,25,415,27,219,122,311,43,0,722,23,2,74,0,99,58,156,11,0,225,69,173,242,0,0,3,2,5,1708,20849,Swan Hill (RC),2013,5733545
26610,3,261,71,4,4,1,77,25,443,16,226,133,424,40,0,839,32,21,74,0,127,110,189,20,2,321,45,337,382,0,1,0,2,3,2115,20574,Swan Hill (RC),2014,5838110
26610,0,275,62,1,1,1,47,59,446,20,206,151,376,91,0,844,30,10,157,0,197,125,187,24,1,337,69,366,435,2,0,4,6,12,2271,20409,Swan Hill (RC),2015,5937481
26610,0,284,39,3,5,2,59,52,444,21,205,155,422,55,0,858,23,8,107,0,138,117,114,29,1,261,102,339,441,0,0,9,8,17,2159,20679,Swan Hill (RC),2016,6053355
26670,0,26,9,0,0,0,25,2,62,8,38,20,69,3,0,138,0,3,11,0,14,34,15,1,0,50,9,5,14,0,0,2,14,16,294,5910,Towong (S),2012,5632521
26670,0,29,4,1,0,0,19,5,58,4,44,18,68,2,0,136,1,0,1,0,2,15,30,3,0,48,11,14,25,0,0,0,0,0,269,5884,Towong (S),2013,5733545
26670,0,32,29,0,1,0,8,2,72,4,31,22,68,2,0,127,0,2,3,0,5,2,17,3,0,22,9,7,16,0,0,1,1,2,244,5795,Towong (S),2014,5838110
26670,0,26,3,0,0,0,7,2,35,1,28,17,50,0,0,96,0,1,3,0,4,18,5,1,0,24,0,5,5,0,0,0,1,1,165,5762,Towong (S),2015,5937481
26670,0,26,23,0,0,0,10,8,67,6,24,18,59,11,0,118,2,2,11,0,15,33,10,2,0,45,1,27,28,0,0,2,3,5,278,5740,Towong (S),2016,6053355
26700,3,220,102,2,1,0,59,23,407,27,236,103,557,49,0,972,45,16,159,0,220,107,303,27,0,437,60,144,204,0,4,27,22,53,2293,27221,Wangaratta (RC),2012,5632521
26700,3,226,104,7,4,1,81,23,446,35,265,144,539,34,0,1017,48,11,147,0,206,106,330,46,1,483,70,179,249,1,0,10,20,31,2432,27169,Wangaratta (RC),2013,5733545
26700,0,234,72,6,4,0,68,47,431,37,255,149,458,89,0,988,77,11,138,0,226,87,302,22,0,411,105,268,373,1,0,6,1,8,2437,27108,Wangaratta (RC),2014,5838110
26700,0,218,59,5,1,1,81,31,396,27,272,96,441,120,0,956,128,8,135,1,272,106,318,32,1,457,81,329,410,1,0,3,14,18,2509,27065,Wangaratta (RC),2015,5937481
26700,6,276,92,2,0,0,62,43,481,30,302,129,515,84,0,1060,35,20,133,0,188,135,213,37,1,386,58,361,419,0,0,12,44,56,2590,27410,Wangaratta (RC),2016,6053355
26730,3,183,48,2,3,0,57,26,319,38,356,170,449,76,0,1089,20,5,69,0,94,43,142,22,0,207,47,123,170,1,0,9,0,10,1889,33004,Warrnambool (C),2012,5632521
26730,0,257,65,4,7,0,73,26,432,12,343,194,457,74,0,1080,23,3,58,0,84,43,118,18,0,179,56,138,194,0,0,4,5,9,1978,33240,Warrnambool (C),2013,5733545
26730,0,214,88,1,4,1,98,10,416,18,341,177,429,111,0,1076,38,2,66,0,106,51,107,8,0,166,45,235,280,0,0,1,3,4,2048,33508,Warrnambool (C),2014,5838110
26730,0,249,66,12,7,0,85,30,449,10,301,241,510,83,0,1145,108,9,154,0,271,60,109,24,0,193,81,419,500,1,1,4,0,6,2564,33644,Warrnambool (C),2015,5937481
26730,0,237,64,3,4,0,85,43,436,10,310,294,596,89,0,1299,67,11,22,1,101,122,89,37,1,249,65,363,428,0,1,4,2,7,2520,33795,Warrnambool (C),2016,6053355
26810,0,477,98,2,11,1,142,59,790,36,470,457,807,100,0,1870,40,14,107,0,161,98,172,38,0,308,66,288,354,0,9,8,4,21,3504,42294,Wellington (S),2012,5632521
26810,0,516,104,1,13,1,160,34,829,85,486,497,1213,99,0,2380,33,22,118,0,173,93,109,29,0,231,92,331,423,1,4,2,8,15,4051,42272,Wellington (S),2013,5733545
26810,6,542,163,5,3,4,159,42,924,54,511,458,973,291,0,2287,16,22,149,0,187,153,161,38,0,352,108,421,529,0,1,4,7,12,4291,42174,Wellington (S),2014,5838110
26810,3,626,175,4,1,0,197,44,1047,46,472,450,793,144,0,1905,54,15,169,0,238,167,196,74,0,437,141,581,722,0,3,15,7,25,4374,41965,Wellington (S),2015,5937481
26810,3,613,291,8,4,1,193,46,1156,65,455,518,886,101,1,2026,23,26,233,0,282,160,179,49,0,388,195,697,892,0,0,10,3,13,4757,42467,Wellington (S),2016,6053355
26890,3,21,16,0,0,0,4,1,42,2,15,17,26,1,0,61,0,3,13,0,16,3,17,0,0,20,0,5,5,1,0,0,3,4,148,4195,West Wimmera (S),2012,5632521
26890,0,10,6,0,0,0,2,1,19,1,22,24,51,5,0,103,0,0,8,0,8,1,6,2,0,9,2,6,8,0,0,0,2,2,149,4084,West Wimmera (S),2013,5733545
26890,0,19,7,0,0,0,6,5,37,3,9,10,36,3,0,61,1,2,8,0,11,4,4,2,0,10,4,36,40,0,0,0,0,0,159,3981,West Wimmera (S),2014,5838110
26890,0,23,33,0,0,0,7,1,64,2,11,5,22,2,0,42,0,3,8,0,11,13,5,0,0,18,2,17,19,0,0,0,0,0,154,3879,West Wimmera (S),2015,5937481
26890,0,15,14,0,0,0,19,4,52,2,9,15,27,11,0,64,0,3,13,0,16,8,6,2,0,16,3,16,19,0,0,0,0,0,167,3933,West Wimmera (S),2016,6053355
26980,4,438,178,10,68,0,114,29,841,33,743,853,2753,321,2,4705,56,26,174,0,256,101,171,26,4,302,74,124,198,0,8,26,26,60,6362,159296,Whitehorse (C),2012,5632521
26980,3,443,185,10,70,1,105,49,863,41,729,1053,3102,446,0,5371,35,11,199,0,245,123,229,46,2,400,104,160,264,0,13,12,39,64,7207,161560,Whitehorse (C),2013,5733545
26980,0,475,214,11,59,3,171,44,977,25,685,1049,3099,610,0,5468,63,29,218,1,311,167,143,28,0,338,57,601,658,0,13,17,1,31,7783,163646,Whitehorse (C),2014,5838110
26980,0,549,298,6,69,3,133,62,1120,38,617,960,2764,1502,0,5881,61,25,290,2,378,112,155,44,1,312,67,609,676,0,5,4,4,13,8380,165557,Whitehorse (C),2015,5937481
26980,4,588,230,13,53,3,180,47,1118,21,533,907,3002,698,0,5161,35,17,210,0,262,113,171,30,0,314,143,713,856,0,7,6,3,16,7727,168949,Whitehorse (C),2016,6053355
27070,6,967,186,27,73,6,342,133,1740,83,1391,1841,4839,512,1,8667,75,31,410,0,516,257,189,30,5,481,106,399,505,0,16,3,6,25,11934,169955,Whittlesea (C),2012,5632521
27070,3,1052,148,21,63,9,353,139,1785,109,1403,1465,4491,868,0,8336,87,102,418,2,609,295,193,58,1,547,107,855,962,0,7,3,9,19,12258,179080,Whittlesea (C),2013,5733545
27070,5,1121,222,25,56,5,456,130,2020,96,1314,1461,5544,1349,0,9764,95,55,483,2,635,358,184,49,5,596,135,1137,1272,0,7,8,7,22,14309,186843,Whittlesea (C),2014,5838110
27070,3,1130,271,18,102,7,459,159,2146,91,1223,1386,4967,1023,3,8693,128,80,625,0,833,382,180,47,0,609,141,1282,1423,0,14,12,5,31,13735,195397,Whittlesea (C),2015,5937481
27070,7,1167,243,25,65,10,501,176,2194,107,1307,1879,6478,971,0,10742,185,64,699,0,948,414,216,56,8,694,408,1470,1878,0,6,15,4,25,16481,200894,Whittlesea (C),2016,6053355
27170,3,298,76,4,7,0,55,29,469,47,505,348,1077,169,0,2146,35,7,109,1,152,108,141,45,0,294,73,185,258,0,0,4,6,10,3329,36576,Wodonga (RC),2012,5632521
27170,0,298,93,5,9,1,55,26,487,47,459,333,892,74,2,1807,30,15,109,0,154,71,90,22,0,183,40,171,211,0,2,0,2,4,2846,37307,Wodonga (RC),2013,5733545
27170,3,396,122,10,4,3,89,50,674,52,436,283,746,97,0,1614,35,9,122,0,166,100,117,36,1,254,81,394,475,0,2,7,1,10,3193,38067,Wodonga (RC),2014,5838110
27170,4,364,175,4,13,1,140,56,757,52,371,327,818,132,0,1700,18,9,108,0,135,116,104,40,0,260,113,544,657,1,1,3,6,11,3520,38559,Wodonga (RC),2015,5937481
27170,0,375,146,5,6,0,98,61,691,50,395,270,850,194,0,1759,40,13,160,0,213,98,94,25,1,218,114,401,515,1,0,3,2,6,3402,39439,Wodonga (RC),2016,6053355
27260,6,833,181,32,73,4,185,90,1404,102,1449,2200,5446,534,0,9731,89,68,402,0,559,286,256,144,1,687,113,407,520,0,8,10,4,22,12923,178859,Wyndham (C),2012,5632521
27260,3,1157,181,20,85,4,190,111,1748,124,1351,1527,4768,878,0,8648,120,62,325,0,507,298,274,61,1,634,132,652,784,1,5,26,13,45,12366,189063,Wyndham (C),2013,5733545
27260,7,994,188,18,96,7,248,125,1683,113,1277,1597,4987,956,1,8931,100,56,333,0,489,382,270,71,0,723,105,1071,1176,0,8,165,13,186,13188,199645,Wyndham (C),2014,5838110
27260,12,1038,185,23,114,6,303,148,1829,99,1075,1832,5321,904,1,9232,84,36,429,0,549,466,242,90,0,798,219,1137,1356,1,9,38,4,52,13816,209847,Wyndham (C),2015,5937481
27260,6,1161,247,25,127,7,331,170,2074,148,1200,1977,6057,804,0,10186,99,47,521,0,667,365,265,107,2,739,339,1753,2092,0,13,9,4,26,15784,218553,Wyndham (C),2016,6053355
27350,3,667,120,13,173,4,102,61,1140,37,1063,1134,4505,640,60,7439,208,9,667,1,885,234,807,43,4,1088,86,181,267,0,12,39,28,79,10898,80987,Yarra (C),2012,5632521
27350,7,780,103,14,135,3,121,53,1216,54,1017,1136,4160,847,0,7214,117,23,653,0,793,262,881,40,1,1184,138,229,367,1,14,48,8,71,10845,83508,Yarra (C),2013,5733545
27350,3,642,166,8,103,3,128,50,1100,17,1011,1204,4890,1285,0,8407,202,24,873,0,1099,439,854,38,1,1332,205,538,743,3,9,88,6,106,12787,86377,Yarra (C),2014,5838110
27350,0,751,165,17,89,6,143,61,1232,22,924,1213,5046,1180,0,8385,174,28,759,0,961,361,716,46,3,1126,124,770,894,0,9,12,10,31,12629,89151,Yarra (C),2015,5937481
27350,5,812,163,23,106,1,203,61,1374,24,1014,1326,5983,1587,0,9934,145,32,702,0,879,360,553,53,0,966,168,929,1097,0,13,17,1,31,14281,92225,Yarra (C),2016,6053355
27450,4,537,207,6,44,5,101,70,974,91,969,764,2049,324,0,4197,58,36,246,7,347,155,211,52,0,418,100,259,359,0,29,17,8,54,6349,149235,Yarra Ranges (S),2012,5632521
27450,3,630,238,7,30,2,134,83,1124,100,897,761,1769,327,0,3854,47,27,284,0,358,167,222,69,1,459,85,396,481,0,6,6,6,18,6294,149390,Yarra Ranges (S),2013,5733545
27450,7,704,242,12,34,2,171,85,1257,83,911,692,2247,552,0,4485,63,35,335,0,433,259,228,63,1,551,93,493,586,0,10,8,14,32,7344,150036,Yarra Ranges (S),2014,5838110
27450,6,622,265,5,28,2,236,63,1227,77,882,556,2096,611,0,4222,76,60,361,0,497,261,246,48,1,556,106,792,898,0,15,13,10,38,7438,150661,Yarra Ranges (S),2015,5937481
27450,6,759,312,18,24,4,255,104,1482,143,862,698,2602,420,0,4725,95,41,549,1,686,409,214,61,0,684,175,1084,1259,0,17,8,1,26,8862,150939,Yarra Ranges (S),2016,6053355
27630,0,42,17,0,0,1,16,2,78,1,67,25,105,20,0,218,4,0,11,0,15,21,44,8,0,73,3,15,18,0,2,3,1,6,408,7102,Yarriambiack (S),2012,5632521
27630,0,40,6,0,0,0,6,9,61,2,39,28,57,39,0,165,1,5,15,0,21,10,23,1,0,34,12,20,32,0,0,0,3,3,316,7021,Yarriambiack (S),2013,5733545
27630,0,56,19,1,0,0,5,0,81,2,23,20,45,3,0,93,4,18,6,0,28,35,29,2,0,66,5,28,33,0,0,1,0,1,302,6884,Yarriambiack (S),2014,5838110
27630,0,53,21,0,1,0,9,4,88,2,48,57,76,18,0,201,6,2,11,0,19,51,10,16,0,77,15,27,42,0,1,18,1,20,447,6759,Yarriambiack (S),2015,5937481
27630,0,76,27,0,1,0,21,2,127,9,63,39,83,17,0,211,2,6,10,0,18,16,19,12,0,47,10,57,67,0,1,1,1,3,473,6674,Yarriambiack (S),2016,6053355
