LGA Code 2011,A10 Homicide and related offence,A20 Assault and related offences , A30 Sexual offences, A40 Abduction and related ofences , A50 Robbery,A60 Blackmail and extortion,"A70 Stalking, harassment and threatening behaviour",A80 Dangerous and negligent acts endangering people,Total offence count: (A),B10 Arson,B20 Property Damage,B30 Burglary/Break and enter,B40 Theft,B50 Deception,B60 Bribery,Total offence count: (B),C10 Drug dealing and trafficking,C20 Cultivate or manufacture drugs,C30 Drug use and possesion ,C90 Other drug offences,Total offence count: (C),D10 Weapons and explosives offence,D20 Disorderly and offensive conduct,D30 Public nuisance offences,D40 Public security offences,Total offence count: (D),E10 Justice procedures,E20 Breaches of orders,Total (E) Justice procedures offences,F10 Regulatory driving offences,F20 Transport regulation offences,F30 Other government regulatory off,F90 Miscellaneous offences,Total (F) Other offences,Grand Total Offences,LGA Estimated Residential Population,LGA Name,Reference Period,Victoria Estimated Residential Population
26080,0,3,4,1,0,0,0,0,8,1,16,13,46,1,0,77,0,0,1,0,1,0,3,8,0,11,0,6,6,0,3,0,0,3,106,3017,Queenscliffe (B),2015,5937481
26080,0,5,3,0,0,0,0,1,6,0,20,17,60,2,0,99,0,0,1,0,1,0,3,1,0,4,1,2,3,0,1,0,0,1,114,3035,Queenscliffe (B),2016,6053355
26170,3,116,47,2,2,1,25,13,206,14,154,205,306,22,0,701,9,7,37,0,53,25,121,8,0,154,14,97,111,0,1,1,0,2,1227,27756,South Gippsland (S),2012,5632521
26170,3,104,28,3,2,2,47,18,204,15,152,219,502,23,0,911,27,6,50,0,83,40,73,11,0,124,13,115,128,0,2,0,0,2,1452,27895,South Gippsland (S),2013,5733545
26170,3,129,74,1,4,0,47,20,275,12,134,122,307,100,0,675,5,8,57,0,70,33,46,6,0,85,15,129,144,0,2,1,8,11,1260,27838,South Gippsland (S),2014,5838110
26170,4,136,107,5,0,0,58,20,330,13,154,158,299,53,0,677,14,11,45,0,70,45,36,12,0,93,103,201,304,0,2,0,2,4,1478,27706,South Gippsland (S),2015,5937481
26170,3,177,70,2,1,1,57,32,340,17,168,153,331,16,0,685,13,19,46,0,78,47,31,7,0,85,36,274,310,0,0,4,2,6,1504,28112,South Gippsland (S),2016,6053355
26260,3,107,42,0,0,0,21,10,180,16,162,72,251,5,0,506,2,3,40,0,45,24,136,20,0,180,17,42,59,0,0,10,2,12,982,16372,Southern Grampians (S),2012,5632521
26260,3,96,66,3,2,0,20,14,201,10,193,106,228,50,0,587,8,7,61,0,76,17,105,20,0,142,17,49,66,0,0,4,4,8,1080,16133,Southern Grampians (S),2013,5733545
26260,0,85,68,0,1,0,31,31,216,14,169,43,191,32,0,449,8,3,75,0,86,32,94,14,0,140,12,129,141,0,0,4,9,13,1045,15906,Southern Grampians (S),2014,5838110
